###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59633.532001 -21.024  0.867   -14   12 o  0   1.64 190.74695  48.37041  8021.59  3600.21 2.85 2.76 -55.3 -0.465 19.26 20.64 01a59633o0717o
59635.567508  23.389  6.647     2   11 o  0   0.95 190.74695  48.37041  5222.57  1659.35 2.02 1.80  37.8 -0.451 19.60 20.76 02a59635o0780o
59635.570710 -26.452 106.000    -0   10 o  0   0.98 190.74695  48.37041  5202.48  1619.42 2.01 1.81  36.7 -0.453 19.56 20.74 02a59635o0787o
59635.578501 -24.519 16.667    -1    9 o  0   1.07 190.74695  48.37041  5262.79  1696.01 1.98 1.81  37.5 -0.455 19.60 20.77 02a59635o0804o
59635.613466  20.765  0.520    18    9 o  0   1.43 190.74695  48.37041  5279.11  1576.60 1.96 1.78  38.3 -0.453 19.52 20.56 02a59635o0880o
59637.470851  22.622  3.706     3   12 o  0   1.04 190.74695  48.37041  7972.07  3682.46 2.85 2.81 -84.8 -0.457 19.44 21.17 01a59637o0577o
59637.473647  22.235  2.714     5   13 o  0   1.10 190.74695  48.37041  7953.06  3643.80 3.15 3.04 -64.0 -0.429 19.37 21.15 01a59637o0583o
59637.478732  20.695  0.691    19   13 o  0   0.89 190.74695  48.37041  8013.02  3719.99 3.24 3.17 -82.8 -0.424 19.28 21.14 01a59637o0594o
59637.488859  20.687  0.587    19   11 o  0   1.31 190.74695  48.37041  8030.55  3601.87 3.07 2.96  46.3 -0.424 19.35 21.12 01a59637o0615o
59639.426052 -20.863  0.547   -16    9 c  0   1.22 190.74695  48.37041  5351.12  8910.24 2.71 2.43  40.6 -0.398 19.72 21.70 02a59639o0472c
59639.441980  22.847  3.765     3   10 c  0   0.91 190.74695  48.37041  5382.53  8951.46 2.64 2.47  47.4 -0.404 19.71 21.76 02a59639o0506c
59639.445668 -22.190  2.065    -5   10 c  0   0.97 190.74695  48.37041  5321.85  8872.83 2.62 2.47  44.0 -0.407 19.71 21.77 02a59639o0514c
59639.451169 -20.976  0.779   -15   12 c  0   0.77 190.74695  48.37041  5301.60  8990.96 2.68 2.47  47.3 -0.400 19.71 21.78 02a59639o0526c
59640.575152  20.974  0.700    15   10 o  0   1.39 190.74695  48.37041  6390.80   635.99 2.80 2.68 -57.8 -0.500 19.55 21.44 01a59640o0760o
59640.578848 -22.169  2.111    -5   10 o  0   1.06 190.74695  48.37041  6411.83   674.81 2.79 2.65 -49.5 -0.506 19.57 21.43 01a59640o0768o
59640.612715 -21.386  1.019   -10   10 o  0   1.15 190.74695  48.37041  6367.93   603.73 2.83 2.68 -52.8 -0.499 19.50 21.39 01a59640o0841o
59640.641393  23.700  8.833     1   11 o  0   1.44 190.74695  48.37041  6364.88   727.57 2.91 2.80 -58.5 -0.484 19.42 21.21 01a59640o0902o
59641.518099 -23.023  5.500    -2   12 o  0   0.72 190.74695  48.37041  6376.56   634.84 2.81 2.69 -49.5 -0.505 19.46 21.15 01a59641o0584o
59641.521297 -24.553 20.667    -0   11 o  0   1.22 190.74695  48.37041  6396.71   673.34 2.78 2.67 -52.3 -0.503 19.50 21.17 01a59641o0591o
59641.526789  21.581  1.217     8   10 o  0   1.54 190.74695  48.37041  6340.98   597.79 2.80 2.74 -58.7 -0.483 19.46 21.15 01a59641o0603o
59641.538688 -21.852  1.784    -7   12 o  0   1.03 190.74695  48.37041  6330.79   716.92 2.76 2.65 -41.6 -0.498 19.49 21.14 01a59641o0629o
59643.459568  21.325  1.036    11   11 o  0   1.19 190.74695  48.37041  4111.75  9939.35 2.91 2.75 -46.7 -0.466 19.49 21.33 01a59643o0546o
59643.461391 -21.119  0.884   -13   12 o  0   0.96 190.74695  48.37041  4092.94  9899.96 2.84 2.74 -39.1 -0.470 19.50 21.34 01a59643o0550o
59643.467341 -22.912  4.308    -2   11 o  0   0.96 190.74695  48.37041  4150.46  9976.13 2.88 2.78 -57.7 -0.466 19.49 21.35 01a59643o0563o
59643.489641  21.017  0.772    14   11 o  0   1.04 190.74695  48.37041  4168.62  9855.47 2.79 2.69 -51.0 -0.473 19.54 21.31 01a59643o0609o
59643.518288  20.443  0.657    24   16 c  0   0.58 190.74695  48.37041  7238.47  1576.11 2.33 2.18 -65.5 -0.437 19.24 21.80 02a59643o0624c
59643.521273 -22.749  4.083    -3   12 c  0   1.27 190.74695  48.37041  7218.93  1539.62 2.33 2.21 -66.0 -0.436 19.24 21.80 02a59643o0630c
59643.526809 -22.341  2.778    -4   12 c  0   1.33 190.74695  48.37041  7278.52  1617.50 2.30 2.18 -69.8 -0.434 19.25 21.79 02a59643o0641c
